date,asset,rolling_beta
2023-02-16,UNH,0.371998457466371
2023-02-17,UNH,0.38343577397825185
2023-02-21,UNH,0.40591266236381707
2023-02-22,UNH,0.39204457304051404
2023-02-23,UNH,0.3843257565799476
2023-02-24,UNH,0.3859214126072305
2023-02-27,UNH,0.37594846370495505
2023-02-28,UNH,0.38183394546784105
2023-03-01,UNH,0.37661364659796287
2023-03-02,UNH,0.3790174851317227
2023-03-03,UNH,0.25285183311520465
2023-03-06,UNH,0.25160427039625455
2023-03-07,UNH,0.2703784208274355
2023-03-08,UNH,0.28101461998288957
2023-03-09,UNH,0.3221646979909152
2023-03-10,UNH,0.3229778048510667
2023-03-13,UNH,0.3112238483404234
2023-03-14,UNH,0.2982427935839028
2023-03-15,UNH,0.27278504383819424
2023-03-16,UNH,0.3138735620060055
2023-03-17,UNH,0.3168897637753635
2023-03-20,UNH,0.3010035565430595
2023-03-21,UNH,0.3040182484633776
2023-03-22,UNH,0.31564710404587243
2023-03-23,UNH,0.3130853838752344
2023-03-24,UNH,0.3014748113818294
2023-03-27,UNH,0.31450828464075553
2023-03-28,UNH,0.3159050011195293
2023-03-29,UNH,0.2897676323406471
2023-03-30,UNH,0.2933706066262406
2023-03-31,UNH,0.30083492389760763
2023-04-03,UNH,0.32001813805734697
2023-04-04,UNH,0.30376274658477187
2023-04-05,UNH,0.31305987384990724
2023-04-06,UNH,0.26752396719080046
2023-04-10,UNH,0.2907091451842528
2023-04-11,UNH,0.28941759476853146
2023-04-12,UNH,0.29994340636974387
2023-04-13,UNH,0.2895284897502668
2023-04-14,UNH,0.3023140395003874
2023-04-17,UNH,0.30287681558558543
2023-04-18,UNH,0.29915898635310895
2023-04-19,UNH,0.26678120745812617
2023-04-20,UNH,0.28887731836672487
2023-04-21,UNH,0.29036081743458375
2023-04-24,UNH,0.302090722485727
2023-04-25,UNH,0.2746705357965304
2023-04-26,UNH,0.28800338991657626
2023-04-27,UNH,0.32566423930347815
2023-04-28,UNH,0.33043025620351896
2023-05-01,UNH,0.33589824781586386
2023-05-02,UNH,0.2831577805679576
2023-05-03,UNH,0.3035439828116489
2023-05-04,UNH,0.45666257708452496
2023-05-05,UNH,0.4844613083905005
2023-05-08,UNH,0.4941432855038248
2023-05-09,UNH,0.5047635291268454
2023-05-10,UNH,0.5380781706454023
2023-05-11,UNH,0.5544210762808329
2023-05-12,UNH,0.546679722742231
2023-05-15,UNH,0.5489050887155661
2023-05-16,UNH,0.5618051892862707
2023-05-17,UNH,0.5732208939939922
2023-05-18,UNH,0.5453383654571972
2023-05-19,UNH,0.5596088166903352
2023-05-22,UNH,0.5445401540582258
2023-05-23,UNH,0.5330978906131261
2023-05-24,UNH,0.519014781203011
2023-05-25,UNH,0.482932302883823
2023-05-26,UNH,0.4894770163164287
2023-05-30,UNH,0.4781244479571595
2023-05-31,UNH,0.4559214818131869
2023-06-01,UNH,0.46780074663586524
2023-06-02,UNH,0.49770052253524066
2023-06-05,UNH,0.49908366244717106
2023-06-06,UNH,0.4718913256359016
2023-06-07,UNH,0.48139092050718174
2023-06-08,UNH,0.48119968134265834
2023-06-09,UNH,0.4825933053282357
2023-06-12,UNH,0.4775946139895196
2023-06-13,UNH,0.49203468719099586
2023-06-14,UNH,0.5131044720101476
2023-06-15,UNH,0.5202002008653634
2023-06-16,UNH,0.544563383758276
2023-06-20,UNH,0.47029997586177474
2023-06-21,UNH,0.4332267250049629
2023-06-22,UNH,0.4264699861975963
2023-06-23,UNH,0.43185371838338876
2023-06-26,UNH,0.4068330230319816
2023-06-27,UNH,0.4141022076674836
2023-06-28,UNH,0.39995365822955675
2023-06-29,UNH,0.4707624863271859
2023-06-30,UNH,0.4748363524099493
2023-07-03,UNH,0.47939521905509697
2023-07-05,UNH,0.4568832516840466
2023-07-06,UNH,0.45834621425643657
2023-07-07,UNH,0.5136330250433703
2023-07-10,UNH,0.5095807840339641
2023-07-11,UNH,0.5078643821915431
2023-07-12,UNH,0.46265445142256767
2023-07-13,UNH,0.4534368209254709
2023-07-14,UNH,0.38401067887767565
