date,AAPL,AMZN,JPM,MSFT,NVDA,SPY,UNH,XOM
2022-05-27,146.6951904296875,115.14649963378906,118.63097381591795,264.3688049316406,18.75495719909668,392.9496765136719,471.729736328125,85.32957458496094
2022-05-31,145.9109344482422,120.20950317382812,119.49852752685548,263.0432434082031,18.61637306213379,390.7447814941406,462.1204528808594,83.9393310546875
2022-06-01,145.78350830078125,121.68399810791016,117.40193176269533,263.57537841796875,18.26541519165039,387.584228515625,458.18560791015625,85.54816436767578
2022-06-02,148.23435974121094,125.51100158691406,119.29068756103516,265.665283203125,19.53362464904785,394.9651794433594,457.9158020019531,85.39952850341797
2022-06-03,142.51907348632812,122.3499984741211,117.62783813476562,261.2532653808594,18.66422843933105,388.4832458496094,451.7297058105469,86.64114379882812
2022-06-06,143.26405334472656,124.79000091552734,117.23924255371094,260.02459716796875,18.73003387451172,389.66607666015625,455.9809265136719,86.42254638671875
2022-06-07,145.78350830078125,123.0,117.54651641845705,263.6528625488281,18.869613647460938,393.4038696289063,462.4181823730469,90.3834457397461
2022-06-08,145.0482635498047,121.18000030517578,115.6758270263672,261.6306457519531,18.59637260437012,389.1266479492188,459.0971374511719,91.45015716552734
2022-06-09,139.83294677734375,116.1500015258789,113.24481964111328,256.1930847167969,17.998031616210938,379.8721618652344,455.2832336425781,89.47410583496094
2022-06-10,134.43142700195312,109.6500015258789,108.0394058227539,244.7762451171875,16.927003860473633,368.8574523925781,450.8182067871094,87.83902740478516
2022-06-13,129.2847442626953,103.66999816894533,104.8221664428711,234.3945770263672,15.603678703308104,354.85260009765625,436.9297790527344,83.80818939208984
2022-06-14,130.1473846435547,102.30999755859376,103.07799530029295,236.5522003173828,15.792157173156738,353.7833557128906,429.534423828125,84.02679443359375
2022-06-15,132.7648468017578,107.66999816894533,104.2979965209961,243.58615112304688,16.481243133544922,358.8269958496094,431.9344787597656,82.96881103515625
2022-06-16,127.50052642822266,103.66000366210938,102.50865936279295,237.0166015625,15.557806968688965,346.9512939453125,425.7823486328125,79.90848541259766
2022-06-17,128.97100830078125,106.22000122070312,102.14717864990234,239.60955810546875,15.836036682128906,347.69921875,422.0202026367188,75.30057525634766
2022-06-21,133.19618225097656,108.68000030517578,104.67758178710938,245.5018615722656,16.520137786865234,356.4520263671875,448.4022521972656,79.9872055053711
2022-06-22,132.6864471435547,108.9499969482422,104.09017181396484,244.9116668701172,16.31471061706543,355.8058166503906,457.1402587890625,76.8219985961914
2022-06-23,135.5489501953125,112.44000244140624,102.95147705078124,250.4556427001953,16.180084228515625,359.2936096191406,466.5971374511719,74.50492095947266
2022-06-24,138.8722686767578,116.45999908447266,106.0241241455078,259.0086364746094,17.07858657836914,370.7169799804688,462.7042846679688,75.98259735107422
2022-06-27,138.8722686767578,113.22000122070312,105.17462158203124,256.2898864746094,16.822298049926758,369.3008728027344,472.0583801269531,77.8449935913086
2022-06-28,134.7352752685547,107.4000015258789,104.66852569580078,248.1529541015625,15.93775463104248,361.7550048828125,474.6536560058594,80.00469207763672
2022-06-29,136.4900665283203,108.91999816894533,104.19862365722656,251.8101501464844,15.49897003173828,361.46044921875,481.440673828125,77.04933166503906
